symbol,close,date
GS,173.080002,2010-01-04
GS,176.139999,2010-01-05
GS,174.259995,2010-01-06
GS,177.669998,2010-01-07
GS,174.309998,2010-01-08
GS,171.559998,2010-01-11
GS,167.820007,2010-01-12
GS,169.070007,2010-01-13
GS,168.529999,2010-01-14
GS,165.21000700000002,2010-01-15
GS,166.860001,2010-01-19
GS,167.78999299999998,2010-01-20
GS,160.869995,2010-01-21
GS,154.119995,2010-01-22
GS,154.979996,2010-01-25
GS,150.880005,2010-01-26
GS,151.5,2010-01-27
GS,153.28999299999998,2010-01-28
GS,148.720001,2010-01-29
GS,153.130005,2010-02-01
GS,156.940002,2010-02-02
GS,157.229996,2010-02-03
GS,150.679993,2010-02-04
GS,154.16000400000001,2010-02-05
GS,151.100006,2010-02-08
GS,152.490005,2010-02-09
GS,153.630005,2010-02-10
GS,154.050003,2010-02-11
GS,153.929993,2010-02-12
GS,157.399994,2010-02-16
GS,157.259995,2010-02-17
GS,155.729996,2010-02-18
GS,156.179993,2010-02-19
GS,156.71000700000002,2010-02-22
GS,156.699997,2010-02-23
GS,158.330002,2010-02-24
GS,156.440002,2010-02-25
GS,156.350006,2010-02-26
GS,156.53999299999998,2010-03-01
GS,158.75,2010-03-02
GS,157.720001,2010-03-03
GS,163.610001,2010-03-04
GS,167.179993,2010-03-05
GS,169.83999599999999,2010-03-08
GS,168.850006,2010-03-09
GS,171.940002,2010-03-10
GS,173.509995,2010-03-11
GS,174.96000700000002,2010-03-12
GS,173.529999,2010-03-15
GS,176.190002,2010-03-16
GS,176.639999,2010-03-17
GS,177.449997,2010-03-18
GS,177.899994,2010-03-19
GS,176.16000400000001,2010-03-22
GS,174.830002,2010-03-23
GS,174.41000400000001,2010-03-24
GS,174.899994,2010-03-25
GS,172.869995,2010-03-26
GS,174.050003,2010-03-29
GS,171.380005,2010-03-30
GS,170.630005,2010-03-31
GS,170.220001,2010-04-01
GS,173.16000400000001,2010-04-05
GS,172.899994,2010-04-06
GS,176.360001,2010-04-07
GS,179.5,2010-04-08
GS,179.119995,2010-04-09
GS,177.83999599999999,2010-04-12
GS,179.25,2010-04-13
GS,184.919998,2010-04-14
GS,184.270004,2010-04-15
GS,160.699997,2010-04-16
GS,163.320007,2010-04-19
GS,159.979996,2010-04-20
GS,158.929993,2010-04-21
GS,159.050003,2010-04-22
GS,157.399994,2010-04-23
GS,152.029999,2010-04-26
GS,153.03999299999998,2010-04-27
GS,157.009995,2010-04-28
GS,160.240005,2010-04-29
GS,145.199997,2010-04-30
GS,149.5,2010-05-03
GS,149.449997,2010-05-04
GS,148.190002,2010-05-05
GS,142.320007,2010-05-06
GS,142.990005,2010-05-07
GS,143.830002,2010-05-10
GS,141.970001,2010-05-11
GS,147.199997,2010-05-12
GS,144.649994,2010-05-13
GS,143.229996,2010-05-14
GS,142.639999,2010-05-17
GS,137.360001,2010-05-18
GS,140.100006,2010-05-19
GS,136.100006,2010-05-20
GS,140.619995,2010-05-21
GS,136.690002,2010-05-24
GS,142.559998,2010-05-25
GS,140.300003,2010-05-26
GS,144.949997,2010-05-27
GS,144.259995,2010-05-28
GS,141.860001,2010-06-01
GS,144.830002,2010-06-02
GS,144.03999299999998,2010-06-03
GS,142.25,2010-06-04
GS,138.679993,2010-06-07
GS,137.779999,2010-06-08
GS,136.800003,2010-06-09
GS,133.770004,2010-06-10
GS,135.639999,2010-06-11
GS,133.440002,2010-06-14
GS,136.899994,2010-06-15
GS,137.059998,2010-06-16
GS,137.320007,2010-06-17
GS,138.179993,2010-06-18
GS,137.740005,2010-06-21
GS,134.78999299999998,2010-06-22
GS,135.070007,2010-06-23
GS,134.979996,2010-06-24
GS,139.66000400000001,2010-06-25
GS,136.66000400000001,2010-06-28
GS,133.759995,2010-06-29
GS,131.270004,2010-06-30
GS,131.139999,2010-07-01
GS,131.080002,2010-07-02
GS,132.259995,2010-07-06
GS,135.830002,2010-07-07
GS,135.46000700000002,2010-07-08
GS,138.059998,2010-07-09
GS,137.25,2010-07-12
GS,140.25,2010-07-13
GS,139.059998,2010-07-14
GS,145.220001,2010-07-15
GS,146.169998,2010-07-16
GS,145.679993,2010-07-19
GS,148.91000400000001,2010-07-20
GS,146.990005,2010-07-21
GS,146.550003,2010-07-22
GS,147.380005,2010-07-23
GS,148.199997,2010-07-26
GS,147.229996,2010-07-27
GS,147.199997,2010-07-28
GS,152.580002,2010-07-29
GS,150.820007,2010-07-30
GS,152.740005,2010-08-02
GS,153.190002,2010-08-03
GS,156.41000400000001,2010-08-04
GS,155.919998,2010-08-05
GS,155.179993,2010-08-06
GS,155.399994,2010-08-09
GS,153.899994,2010-08-10
GS,149.25,2010-08-11
GS,149.419998,2010-08-12
GS,148.080002,2010-08-13
GS,147.759995,2010-08-16
GS,148.58999599999999,2010-08-17
GS,149.199997,2010-08-18
GS,147.050003,2010-08-19
GS,148.240005,2010-08-20
GS,146.740005,2010-08-23
GS,143.949997,2010-08-24
GS,144.679993,2010-08-25
GS,141.809998,2010-08-26
GS,139.75,2010-08-27
GS,136.66000400000001,2010-08-30
GS,136.929993,2010-08-31
GS,139.740005,2010-09-01
GS,139.779999,2010-09-02
GS,147.28999299999998,2010-09-03
GS,145.21000700000002,2010-09-07
GS,147.53999299999998,2010-09-08
GS,149.139999,2010-09-09
GS,150.389999,2010-09-10
GS,154.369995,2010-09-13
GS,152.529999,2010-09-14
GS,152.559998,2010-09-15
GS,152.229996,2010-09-16
GS,150.979996,2010-09-17
GS,151.899994,2010-09-20
GS,151.399994,2010-09-21
GS,148.070007,2010-09-22
GS,144.91000400000001,2010-09-23
GS,147.279999,2010-09-24
GS,146.0,2010-09-27
GS,145.009995,2010-09-28
GS,144.419998,2010-09-29
GS,144.580002,2010-09-30
GS,147.699997,2010-10-01
GS,146.570007,2010-10-04
GS,149.570007,2010-10-05
GS,150.83999599999999,2010-10-06
GS,151.110001,2010-10-07
GS,152.66000400000001,2010-10-08
GS,152.199997,2010-10-11
GS,155.21000700000002,2010-10-12
GS,154.729996,2010-10-13
GS,151.58999599999999,2010-10-14
GS,150.690002,2010-10-15
GS,153.699997,2010-10-18
GS,156.720001,2010-10-19
GS,159.600006,2010-10-20
GS,159.300003,2010-10-21
GS,157.759995,2010-10-22
GS,157.389999,2010-10-25
GS,158.28999299999998,2010-10-26
GS,160.149994,2010-10-27
GS,163.240005,2010-10-28
GS,161.130005,2010-10-29
GS,161.570007,2010-11-01
GS,162.820007,2010-11-02
GS,162.630005,2010-11-03
GS,166.389999,2010-11-04
GS,171.070007,2010-11-05
GS,169.199997,2010-11-08
GS,166.550003,2010-11-09
GS,167.220001,2010-11-10
GS,167.71000700000002,2010-11-11
GS,165.830002,2010-11-12
GS,167.220001,2010-11-15
GS,165.100006,2010-11-16
GS,164.889999,2010-11-17
GS,167.350006,2010-11-18
GS,166.669998,2010-11-19
GS,161.050003,2010-11-22
GS,157.779999,2010-11-23
GS,160.259995,2010-11-24
GS,158.220001,2010-11-26
GS,159.279999,2010-11-29
GS,156.139999,2010-11-30
GS,158.449997,2010-12-01
GS,162.5,2010-12-02
GS,162.309998,2010-12-03
GS,162.649994,2010-12-06
